Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","23","Belize","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","68","F","FAO estimate",""
"FS","Suite of Food Security Indicators","23","Belize","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","25.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","53","Benin","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","65","F","FAO estimate",""
"FS","Suite of Food Security Indicators","53","Benin","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","15","F","FAO estimate",""
"FS","Suite of Food Security Indicators","19","Bolivia (Plurinational State of)","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","68","F","FAO estimate",""
"FS","Suite of Food Security Indicators","19","Bolivia (Plurinational State of)","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","31","F","FAO estimate",""
"FS","Suite of Food Security Indicators","80","Bosnia and Herzegovina","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","96.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","80","Bosnia and Herzegovina","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","34.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","20","Botswana","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","67","F","FAO estimate",""
"FS","Suite of Food Security Indicators","20","Botswana","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","28.6","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","90","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","51.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","27","Bulgaria","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","82.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","27","Bulgaria","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","40","F","FAO estimate",""
"FS","Suite of Food Security Indicators","233","Burkina Faso","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","76.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","233","Burkina Faso","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","10.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","35","Cabo Verde","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","69.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","35","Cabo Verde","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","25.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","115","Cambodia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","64.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","115","Cambodia","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","18.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","32","Cameroon","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","70.6","F","FAO estimate",""
"FS","Suite of Food Security Indicators","32","Cameroon","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","11.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","33","Canada","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","99.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","33","Canada","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","52","F","FAO estimate",""
"FS","Suite of Food Security Indicators","37","Central African Republic","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","45.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","37","Central African Republic","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","19.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","39","Chad","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","70.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","39","Chad","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","20.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","40","Chile","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","87.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","40","Chile","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","44.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","351","China","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","100.2","F","FAO estimate",""
"FS","Suite of Food Security Indicators","351","China","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","39.6","F","FAO estimate",""
"FS","Suite of Food Security Indicators","96","China, Hong Kong SAR","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","132.4","F","FAO estimate",""
"FS","Suite of Food Security Indicators","96","China, Hong Kong SAR","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","96.4","F","FAO estimate",""
"FS","Suite of Food Security Indicators","128","China, Macao SAR","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","99.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","128","China, Macao SAR","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","65.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","41","China, mainland","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","100.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","41","China, mainland","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","39.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","214","China, Taiwan Province of","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","85.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","214","China, Taiwan Province of","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","42","F","FAO estimate",""
"FS","Suite of Food Security Indicators","44","Colombia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","70.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","44","Colombia","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","36.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","46","Congo","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","55","F","FAO estimate",""
"FS","Suite of Food Security Indicators","46","Congo","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","26","F","FAO estimate",""
"FS","Suite of Food Security Indicators","48","Costa Rica","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","79.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","48","Costa Rica","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","44","F","FAO estimate",""
"FS","Suite of Food Security Indicators","107","Côte d'Ivoire","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","57","F","FAO estimate",""
"FS","Suite of Food Security Indicators","107","Côte d'Ivoire","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","13","F","FAO estimate",""
"FS","Suite of Food Security Indicators","98","Croatia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","89","F","FAO estimate",""
"FS","Suite of Food Security Indicators","98","Croatia","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","51.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","49","Cuba","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","85.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","49","Cuba","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","31","F","FAO estimate",""
"FS","Suite of Food Security Indicators","50","Cyprus","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","79","F","FAO estimate",""
"FS","Suite of Food Security Indicators","50","Cyprus","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","43.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","167","Czechia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","87","F","FAO estimate",""
"FS","Suite of Food Security Indicators","167","Czechia","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","52","F","FAO estimate",""
"FS","Suite of Food Security Indicators","116","Democratic People's Republic of Korea","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","53.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","116","Democratic People's Republic of Korea","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","10","F","FAO estimate",""
"FS","Suite of Food Security Indicators","54","Denmark","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","110","F","FAO estimate",""
"FS","Suite of Food Security Indicators","54","Denmark","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","70.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","72","Djibouti","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","67.6","F","FAO estimate",""
"FS","Suite of Food Security Indicators","72","Djibouti","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","13.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","55","Dominica","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","79.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","55","Dominica","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","43.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","56","Dominican Republic","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","64.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","56","Dominican Republic","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","32.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","58","Ecuador","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","66","F","FAO estimate",""
"FS","Suite of Food Security Indicators","58","Ecuador","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","30.6","F","FAO estimate",""
"FS","Suite of Food Security Indicators","59","Egypt","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","96.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","59","Egypt","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","23.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","60","El Salvador","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","74.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","60","El Salvador","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","25.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","63","Estonia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","106.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","63","Estonia","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","60.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","209","Eswatini","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","59.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","209","Eswatini","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","17.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","238","Ethiopia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","65","F","FAO estimate",""
"FS","Suite of Food Security Indicators","238","Ethiopia","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","5.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","66","Fiji","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","73","F","FAO estimate",""
"FS","Suite of Food Security Indicators","66","Fiji","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","30","F","FAO estimate",""
"FS","Suite of Food Security Indicators","67","Finland","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","116.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","67","Finland","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","72.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","68","France","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","111.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","68","France","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","69.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","70","French Polynesia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","97","F","FAO estimate",""
"FS","Suite of Food Security Indicators","70","French Polynesia","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","63.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","74","Gabon","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","81.6","F","FAO estimate",""
"FS","Suite of Food Security Indicators","74","Gabon","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","40","F","FAO estimate",""
"FS","Suite of Food Security Indicators","75","Gambia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","62","F","FAO estimate",""
"FS","Suite of Food Security Indicators","75","Gambia","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","15.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","73","Georgia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","77.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","73","Georgia","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","27.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","79","Germany","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","104","F","FAO estimate",""
"FS","Suite of Food Security Indicators","79","Germany","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","62.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","81","Ghana","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","60.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","81","Ghana","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","14.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","84","Greece","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","104","F","FAO estimate",""
"FS","Suite of Food Security Indicators","84","Greece","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","55.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","86","Grenada","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","68.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","86","Grenada","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","41","F","FAO estimate",""
"FS","Suite of Food Security Indicators","89","Guatemala","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","68.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","89","Guatemala","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","21","F","FAO estimate",""
"FS","Suite of Food Security Indicators","90","Guinea","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","61.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","90","Guinea","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","11","F","FAO estimate",""
"FS","Suite of Food Security Indicators","175","Guinea-Bissau","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","42","F","FAO estimate",""
"FS","Suite of Food Security Indicators","175","Guinea-Bissau","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","9","F","FAO estimate",""
"FS","Suite of Food Security Indicators","91","Guyana","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","86.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","91","Guyana","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","38.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","93","Haiti","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","49","F","FAO estimate",""
"FS","Suite of Food Security Indicators","93","Haiti","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","9","F","FAO estimate",""
"FS","Suite of Food Security Indicators","95","Honduras","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","64","F","FAO estimate",""
"FS","Suite of Food Security Indicators","95","Honduras","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","22","F","FAO estimate",""
"FS","Suite of Food Security Indicators","97","Hungary","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","86.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","97","Hungary","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","48","F","FAO estimate",""
"FS","Suite of Food Security Indicators","99","Iceland","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","139.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","99","Iceland","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","99.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","100","India","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","63","F","FAO estimate",""
"FS","Suite of Food Security Indicators","100","India","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","13.7","F","FAO estimate",""
