Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/19/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belarus,BLR,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.51,9.353493353,9.353493353,,
Belize,BLZ,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.68,37.67936557,37.67936557,,
Bermuda,BMU,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.52,2.079919023,2.079919023,,
Bolivia,BOL,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.87,30.8654915,30.8654915,,
Brazil,BRA,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.94,29.41966767,29.41966767,,
Barbados,BRB,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,1.270108194,1.270108194,,
Brunei Darussalam,BRN,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.87,46.87211976,46.87211976,,
Bhutan,BTN,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.01,48.00785105,48.00785105,,
Botswana,BWA,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.14,29.14323742,29.14323742,,
Central African Republic,CAF,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.06,18.06482422,18.06482422,,
Canada,CAN,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.69,9.685573936,9.685573936,,
Central Europe and the Baltics,CEB,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.07189552,30.16553095,30.16553095,,
Switzerland,CHE,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.65,9.665184261,9.665184261,,
Channel Islands,CHI,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4,18.49445424,18.49445424,,
China,CHN,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.08,15.44904196,15.44904196,,
Cote d'Ivoire,CIV,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.88,22.88466348,22.88466348,,
Cameroon,CMR,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,10.60054641,10.60054641,,
"Congo, Dem. Rep.",COD,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,13.83326047,13.83326047,,
"Congo, Rep.",COG,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.59,40.73803678,40.73803678,,
Colombia,COL,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.16,14.80695582,14.80695582,,
Comoros,COM,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.17,10.15143427,10.15143427,,
Cabo Verde,CPV,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,2.895240389,2.895240389,,
Costa Rica,CRI,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6,27.60269532,27.60269532,,
Caribbean small states,CSS,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.65085634,13.82233985,13.82233985,,
